	JL_heart	JL_kidney	JL_muscle	JL_notochod	JL_ovary	JL_testis	Lj_brain	Lj_gill	Lj_heart	Lj_kidney	Lj_liver	LJ_Brain	LJ_Intestine
g30647	0	0	0	0	0	0	0	0	0	0	0	0	0
g30648	2072.57966315205	13271.5157970852	3052.85130230257	4535.55583393937	4924.71695787125	12576.6848689729	5710.79121959067	7731.18452970727	1816.02184120018	5645.89573372334	1208.13521494154	5639.70517150157	10197.7048892453
g30649	27.8141929948786	253.803314848319	49.2335511536413	54.0857283419132	36.2999760643628	24.0742902166182	2.19018597289611	73.860630590353	3.87714431548637	6.65598577966209	22.1156971844501	25.9001117194413	408.619247481057
g30650	168.733130429023	94.9884804117271	140.905921018546	33.6201562250212	23.9746525588356	114.480619660698	0	0	17.0713037972691	0	0	69.9443969413861	95.7008278810654
g30651	26.4066540754458	0	0	0	0	10.2852041866047	74.8566532518551	175.307272275782	49.6927061029416	68.2469195387927	29.0721198327196	7.37683049962962	46.4291145165565
g30652	979.740757329807	0	243.875632532099	0	0	0	19.2870458633606	0	418.246943033093	0	0	45.6159110487301	0
g30653	0	0	0	22.5052958336891	0	0	15.492872906634	0	0	0	0	36.6422892030783	0
g30654	119.421137087464	469.93861906943	79.2696915029707	184.409065861124	416.425401721566	1255.86948433751	1579.81056265855	31.7123005967536	99.8798669929771	17.1466141129802	350.601086937871	6738.89981433328	433.93897776519
g30655	0	0	0	10.8954209988495	112.658668274158	0	0	0	0	4.55882200622887	0	0	0
g30656	0	0	0	20.1885742037505	0	15.2765532771628	0	0	0	0	0	0	0
g30657	180.055497830888	1455.59413765699	201.686177115154	173.775069095574	119.788963734548	1928.58427870343	279.133195406444	17.9301615188396	21.1770604067389	300.536012765064	55.752229805785	1917.66467123283	284.921958450969
g30658	0	55.3111769480049	0	27.7337989061623	9.88853514632109	62.9579165361863	171.830044964486	214.618599998231	50.6965991555264	46.417096790694	14.8297176924479	0	0
g30659	0	0	0	0	0	0	0	0	0	0	0	0	0
g30660	0	59.519636063614	28.8645072320599	14.9219896288591	10.6409236900629	0	10.2724483402682	46.1896552170107	0	6.24360405200911	7.97903288887141	0	20.388437244227
g30661	22.3185946579082	95.463851426996	3.70367456813043	11.48805896113	6.82681296712544	75.3387620474867	171.350742189132	165.947771044657	81.6660697693627	32.0452760270482	20.4761792406184	20.7827023838938	20.9287166133209
g30662	0	0	0	0	0	0	0	0	0	102.74028131111	23.8722284805258	0	0
g30663	0	0	0	0	7.70838566524244	0	34.7268069875732	0	13.1731320640344	0	7.70678242284692	3.91107548799261	0
g30664	0	0	0	0	0	0	0	0	0	0	0	0	0
g30665	0	0	0	0	0	0	0	0	0	0	0	0	0
